2019-04-11 23:09:30 INFO - Client request 97 requesting room XG14 on day 3, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 98 requesting room XG14 on day 1, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 99 requesting room T101 on day 4, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 83 requesting room CG04 on day 3, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 86 requesting room L221 on day 5, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 81 requesting room CG04 on day 6, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 76 requesting room CG04 on day 1, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 100 requesting room CG04 on day 6, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 101 requesting room XG14 on day 3, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 87 requesting room L221 on day 1, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 73 requesting room XG14 on day 3, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 90 requesting room XG14 on day 6, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 85 requesting room CG04 on day 3, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 88 requesting room T101 on day 5, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 84 requesting room T101 on day 2, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 79 requesting room T101 on day 4, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 103 requesting room L221 on day 6, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 102 requesting room T101 on day 1, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:31 INFO - Client request 104 requesting room T101 on day 3, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 106 requesting room XG14 on day 6, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 105 requesting room XG14 on day 1, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 107 requesting room T101 on day 5, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 110 requesting room CG04 on day 5, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 108 requesting room L221 on day 4, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 109 requesting room CG04 on day 6, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 111 requesting room CG04 on day 1, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 112 requesting room T101 on day 5, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 106 requesting room XG14 on day 3, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 113 requesting room XG14 on day 5, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 114 requesting room XG14 on day 4, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 115 requesting room L221 on day 3, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 105 requesting room L221 on day 5, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 116 requesting room T101 on day 4, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 118 requesting room T101 on day 4, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 117 requesting room CG04 on day 4, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 104 requesting room T101 on day 6, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 119 requesting room T101 on day 5, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 120 requesting room L221 on day 5, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 121 requesting room T101 on day 6, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 125 requesting room CG04 on day 3, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 124 requesting room T101 on day 3, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 123 requesting room T101 on day 1, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 111 requesting room CG04 on day 5, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 122 requesting room XG14 on day 5, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 109 requesting room XG14 on day 1, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 110 requesting room XG14 on day 6, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 126 requesting room CG04 on day 2, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 127 requesting room CG04 on day 2, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 128 requesting room XG14 on day 5, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 131 requesting room CG04 on day 5, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 132 requesting room T101 on day 2, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 133 requesting room L221 on day 4, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 129 requesting room XG14 on day 5, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 130 requesting room CG04 on day 3, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 136 requesting room XG14 on day 4, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 139 requesting room CG04 on day 4, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 137 requesting room L221 on day 4, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 138 requesting room T101 on day 6, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 135 requesting room CG04 on day 5, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 134 requesting room CG04 on day 6, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 140 requesting room T101 on day 2, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 142 requesting room XG14 on day 6, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 141 requesting room XG14 on day 2, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 114 requesting room T101 on day 2, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 106 requesting room L221 on day 5, timeslot 12-1, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 112 requesting room CG04 on day 1, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 115 requesting room CG04 on day 3, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 105 requesting room XG14 on day 5, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 119 requesting room T101 on day 3, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 116 requesting room L221 on day 1, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 117 requesting room L221 on day 4, timeslot 11-12, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 113 requesting room T101 on day 4, timeslot 1-2, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 125 requesting room CG04 on day 1, timeslot 9-10, at 3 seconds 
2019-04-11 23:09:31 INFO - Client request 143 requesting room XG14 on day 6, timeslot 10-11, at 3 seconds 
2019-04-11 23:09:32 INFO - Client request 128 requesting room CG04 on day 3, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 146 requesting room T101 on day 6, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 148 requesting room L221 on day 2, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 151 requesting room L221 on day 3, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 150 requesting room CG04 on day 3, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 149 requesting room L221 on day 2, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 147 requesting room XG14 on day 1, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 152 requesting room T101 on day 1, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 153 requesting room XG14 on day 1, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 154 requesting room L221 on day 5, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 155 requesting room CG04 on day 5, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 156 requesting room L221 on day 1, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 150 requesting room T101 on day 5, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 153 requesting room L221 on day 4, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 155 requesting room L221 on day 5, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 158 requesting room XG14 on day 4, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 157 requesting room CG04 on day 3, timeslot 9-10, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 148 requesting room XG14 on day 4, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 152 requesting room CG04 on day 2, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 159 requesting room L221 on day 1, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 162 requesting room T101 on day 5, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 163 requesting room T101 on day 5, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 161 requesting room L221 on day 6, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 160 requesting room CG04 on day 2, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 164 requesting room T101 on day 1, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 156 requesting room T101 on day 5, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 167 requesting room CG04 on day 4, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 165 requesting room T101 on day 6, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 149 requesting room CG04 on day 3, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 168 requesting room T101 on day 6, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 172 requesting room CG04 on day 2, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 171 requesting room L221 on day 3, timeslot 9-10, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 170 requesting room XG14 on day 1, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 169 requesting room XG14 on day 5, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 175 requesting room L221 on day 1, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 173 requesting room XG14 on day 3, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 174 requesting room XG14 on day 5, timeslot 9-10, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 176 requesting room L221 on day 2, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 177 requesting room CG04 on day 3, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 150 requesting room T101 on day 3, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 155 requesting room XG14 on day 1, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 179 requesting room XG14 on day 4, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 178 requesting room CG04 on day 3, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 158 requesting room CG04 on day 4, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 162 requesting room CG04 on day 1, timeslot 12-1, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 159 requesting room XG14 on day 5, timeslot 10-11, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 165 requesting room L221 on day 5, timeslot 1-2, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 180 requesting room XG14 on day 6, timeslot 11-12, at 4 seconds 
2019-04-11 23:09:32 INFO - Client request 173 requesting room L221 on day 2, timeslot 9-10, at 4 seconds 
2019-04-11 23:09:33 INFO - Client request 181 requesting room XG14 on day 1, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 184 requesting room CG04 on day 3, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 183 requesting room CG04 on day 2, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 182 requesting room XG14 on day 1, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 185 requesting room XG14 on day 5, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 186 requesting room XG14 on day 2, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 187 requesting room XG14 on day 3, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 188 requesting room L221 on day 2, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 183 requesting room CG04 on day 1, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 181 requesting room L221 on day 1, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 181 requesting room T101 on day 6, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 190 requesting room T101 on day 6, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 189 requesting room XG14 on day 5, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 181 requesting room L221 on day 4, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 193 requesting room XG14 on day 5, timeslot 10-11, at 5 seconds 
